input,output
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Which of the following is derived from fibroblast cells ?
A. TGF-13
B. MMP2
C. Collagen
D. Angiopoietin", C. Collagen
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

In Alleged history of gun shot injury.there is burning, blackening, tattooing around the wound Di collar, the injury is
A. Close shot entry wound
B. Close shot exit wound
C. Distant shot entry wound
D. distant shot exit wound", C. Distant shot entry wound
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Which macrolide is active against Mycobaterium leprae?
A. Azithromycin
B. Roxithromycin
C. Clarithromycin
D. Framycetin", C. Clarithromycin
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Xanthenuric acid is produced in metabolism of?
A. Tyrosine
B. Glycine
C. Methionine
D. Tryptophan", A. Tyrosine
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Most common site of direct hernia
A. Hesselbach's triangle
B. Femoral gland
C. No site predilection
D. None", A. Hesselbach's triangle
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Resistance to lateral shifting or anteroposterior shifting is called as:
A. Retention.
B. Stability.
C. Support.
D. None.", Answer: B. Stability.
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Marker of endoplasmic reticulum?
A. Acid phosphatase
B. Glucose-6-phosphatase
C. Catalase
D. LDH", B. Glucose-6-phosphatase
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

A 10 years old male presents a smooth swelling near superficial inguinal ring, which moves downwards when the testicle is pulled downwards. Diagnosis -
A. Inguinal hernia
B. Congenital hydrocele
C. Encysted hydrocele of the cord
D. Varicocele", A. Inguinal hernia
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Pain and temperature sensation are transmitted by?
A. Dorsal column
B. Lateral spinothalamic tract
C. Ventral spinothalamic tract
D. Spinocerebellar tract", C. Ventral spinothalamic tract
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

All are derived from ectoderm except ?
A. Lens
B. Eustachian tube
C. Brain
D. Retina"," The answer is A. Lens.

The lens is derived from the mesoderm, not the ectoderm. The ectoderm gives rise to the outermost layers of the embryo, including the skin, hair, and nails. The lens, on the other hand, is a structure that is part of the eye and is derived from the mesoderm, which gives rise to the muscles, bones, and connective tissue.

Therefore, the answer is A. Lens."
"The following are multiple-choice questions about medical knowledge. Solve them in a step-by-step fashion. You must only output your choices as the final answer, no other texts.

Tannerella forsythia is a ?
A. Nonmotile, gram-negative obligate anaerobe
B. Motile, gram-negative obligate anaerobe
C. Nonmotile, gram-negative obligate aerobe
D. Motile, gram-negative obligate aerobe"," A. Nonmotile, gram-negative obligate anaerobe"
